type,dropout,middle layers,learning rate,4.0 epochs,8.0 epochs,12.0 epochs,16.0 epochs,20.0 epochs,24.0 epochs,28.0 epochs,32.0 epochs,36.0 epochs,40.0 epochs,44.0 epochs,48.0 epochs,52.0 epochs,56.0 epochs,60.0 epochs,64.0 epochs,68.0 epochs,72.0 epochs,76.0 epochs,80.0 epochs,84.0 epochs,88.0 epochs,92.0 epochs,96.0 epochs,100.0 epochs,104.0 epochs,108.0 epochs,112.0 epochs,116.0 epochs,120.0 epochs,124.0 epochs,128.0 epochs,132.0 epochs,136.0 epochs,140.0 epochs,144.0 epochs,148.0 epochs,152.0 epochs,156.0 epochs,160.0 epochs,164.0 epochs,168.0 epochs,172.0 epochs,176.0 epochs,180.0 epochs,184.0 epochs,188.0 epochs,192.0 epochs,196.0 epochs,200.0 epochs,
validation,0.2,1,0.001,0.574344026,0.600583094,0.600583094,0.599125368,0.600583094,0.602040819,0.602040819,0.59912536,0.59912536,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.59912536,0.59912536,0.597667634,0.597667634,0.600583085,0.597667634,0.600583085,0.60204081,0.603498535,0.60204081,0.604956261,0.603498535,0.604956261,0.603498535,0.60204081,0.606413986,0.604956261,0.604956261,0.606413995,0.60787172,0.606413995,0.60787172,0.613702621,0.61078717,0.60787172,0.613702621,0.619533522,0.609329445,0.613702621,0.618075797,0.616618071,0.619533522,0.615160346,0.615160346
training,0.2,1,0.0001,0.495869777,0.545432448,0.568756069,0.567055387,0.581632648,0.589893094,0.586005832,0.586491747,0.590864931,0.596452875,0.595723995,0.594509218,0.598396497,0.59523809,0.598882403,0.599368308,0.599854222,0.59815354,0.599368325,0.599368308,0.601797853,0.603741493,0.60301263,0.602769673,0.602283767,0.601797853,0.601797862,0.602283767,0.601311939,0.600826042,0.600826034,0.600826034,0.601068999,0.601311956,0.600826034,0.600340128,0.600097171,0.600340119,0.599854222,0.599368317,0.599368317,0.598882403,0.598882403,0.598639446,0.598882403,0.598639446,0.598882403,0.598882403,0.598882403,0.598882403,
validation,0.2,1,0.0001,0.511661802,0.55830904,0.561224486,0.559766761,0.581632657,0.580174931,0.57434403,0.57434403,0.57434403,0.588921283,0.591836742,0.600583094,0.603498553,0.603498544,0.609329445,0.609329445,0.612244896,0.61078717,0.600583094,0.597667643,0.597667643,0.602040819,0.596209918,0.600583094,0.597667643,0.597667643,0.600583094,0.597667634,0.597667634,0.59912536,0.600583085,0.600583085,0.602040819,0.600583094,0.600583094,0.600583094,0.600583094,0.599125368,0.599125368,0.599125368,0.599125368,0.599125368,0.599125368,0.599125368,0.599125368,0.600583094,0.600583094,0.600583094,0.59912536,0.59912536,0.59912536
training,0.2,2,0.01,0.597910583,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910583,0.597910592,0.597910592,0.59815354,0.59815354,0.597910583,0.597910583,0.597910583,0.597910583,0.597910583,0.598153532,0.597910583,0.59815354,0.59815354,0.59815354,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396489,0.598396489,0.598396489,0.598396489,0.59815354,0.59815354,0.598396497,0.598396497,0.598396497,0.598396497,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598639446,0.598882403,0.598639446,
validation,0.2,2,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
training,0.2,2,0.001,0.592322648,0.595238098,0.598639446,0.598396506,0.598153549,0.598639454,0.598396497,0.598396497,0.598396497,0.598396506,0.598396506,0.598396506,0.598396506,0.599125368,0.599125368,0.59888242,0.598153549,0.598396506,0.598396506,0.598396506,0.598639454,0.598882411,0.599611274,0.599368317,0.599125368,0.599125368,0.599125368,0.600583094,0.599611274,0.601311965,0.601311965,0.600826051,0.601069008,0.600340136,0.601069008,0.604956269,0.602769681,0.608114668,0.604227415,0.608600582,0.607142857,0.609815351,0.611273084,0.612001947,0.617589899,0.614188535,0.619290573,0.618561711,0.619290573,0.622934895,
validation,0.2,2,0.001,0.575801747,0.594752184,0.600583094,0.600583094,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.597667634,0.59912536,0.59912536,0.59912536,0.597667634,0.596209909,0.600583094,0.59912536,0.604956269,0.600583094,0.600583094,0.603498544,0.603498544,0.602040819,0.604956269,0.609329445,0.606413995,0.602040819,0.604956269,0.600583094,0.603498544,0.603498544
training,0.2,2,0.0001,0.504373171,0.527939741,0.522837707,0.520408162,0.523080647,0.531827007,0.541788144,0.54081632,0.541302242,0.547133135,0.546890178,0.556122439,0.573372202,0.580417871,0.58163264,0.588678326,0.590864922,0.593051502,0.593537399,0.593780364,0.595724004,0.596209909,0.596452858,0.596452866,0.596938772,0.598396497,0.597667634,0.597181729,0.598396497,0.597667643,0.597910592,0.597910583,0.59815354,0.59815354,0.59815354,0.597910583,0.59815354,0.598396497,0.598396497,0.59815354,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.598396497,0.59815354,0.59815354,0.59815354,0.59815354,
validation,0.2,2,0.0001,0.507288631,0.524781329,0.514577261,0.523323613,0.543731775,0.561224486,0.572886305,0.578717206,0.580174931,0.571428576,0.575801751,0.581632657,0.590379017,0.591836742,0.590379017,0.587463566,0.583090373,0.586005824,0.587463558,0.587463558,0.594752184,0.594752184,0.594752184,0.596209909,0.596209909,0.596209909,0.594752184,0.596209909,0.596209909,0.596209909,0.596209909,0.594752184,0.594752184,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909
training,0.2,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.597910592,0.598153549,0.597910592,0.597910592,0.597667634,0.59815354,0.598396497,0.598396497,0.598396497,0.598639446,0.598882403,0.598639454,0.598153549,0.598396497,0.598396497,0.598396497,0.598396497,0.59815354,0.598396497,0.598396497,0.598396497,0.59912536,0.599854222,0.59815354,0.598396497,0.59912536,0.598639454,0.598639454,0.598639454,0.59912536,0.602040819,0.598396497,0.598639454,0.599125368,0.599854231,0.598639454,
