type,dropout,middle layers,learning rate,10.0 epochs,20.0 epochs,30.0 epochs,40.0 epochs,50.0 epochs,60.0 epochs,70.0 epochs,80.0 epochs,90.0 epochs,100.0 epochs,110.0 epochs,120.0 epochs,130.0 epochs,140.0 epochs,150.0 epochs,160.0 epochs,170.0 epochs,180.0 epochs,190.0 epochs,200.0 epochs,210.0 epochs,220.0 epochs,230.0 epochs,240.0 epochs,250.0 epochs,260.0 epochs,270.0 epochs,280.0 epochs,290.0 epochs,300.0 epochs,310.0 epochs,320.0 epochs,330.0 epochs,340.0 epochs,350.0 epochs,360.0 epochs,370.0 epochs,380.0 epochs,390.0 epochs,400.0 epochs,410.0 epochs,420.0 epochs,430.0 epochs,440.0 epochs,450.0 epochs,460.0 epochs,470.0 epochs,480.0 epochs,490.0 epochs,500.0 epochs
training,0.2,1,0.001,0.599611265,0.599125351,0.600340128,0.599854222,0.600583076,0.599854231,0.601068999,0.605685115,0.602769673,0.604227398,0.608357617,0.609329437,0.609815342,0.611273067,0.612487844,0.612730801,0.613216707,0.616375123,0.622934886,0.62172011,0.623906698,0.631924195,0.629737599,0.638726916,0.639212821,0.643586005,0.649416906,0.651360546,0.658649181,0.668853249,0.679300291,0.673226433,0.693634595,0.682944604,0.698979591,0.704567543,0.708697762,0.713070946,0.713070946,0.720845478,0.72351798,0.739795923,0.741253648,0.757045678,0.738824095,0.74902818,0.754130219,0.775267252,0.764091355,0.772594758
validation,0.2,1,0.001,0.596209909,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.594752184,0.600583085,0.600583085,0.597667634,0.597667634,0.600583094,0.594752184,0.596209909,0.596209909,0.594752184,0.596209909,0.593294459,0.594752192,0.596209918,0.600583094,0.596209918,0.591836742,0.597667652,0.590379017,0.602040819,0.596209918,0.600583094,0.596209918,0.604956261,0.604956278,0.620991256,0.613702629,0.612244896,0.603498544,0.606413995,0.599125368,0.615160355,0.606413995,0.61078717,0.61661808,0.618075797,0.609329437,0.616618063,0.622448981,0.632653049,0.620991256,0.612244887,0.61953353,0.628279882
training,0.2,2,0.01,0.597667634,0.597667634,0.597667634,0.597910592,0.599854231,0.599854231,0.599125351,0.59912536,0.607142857,0.599125351,0.600340136,0.610787179,0.604713312,0.610544213,0.601311956,0.609815359,0.609086496,0.604713312,0.609815351,0.605199226,0.616375123,0.618075805,0.604713312,0.616861037,0.621477161,0.620019436,0.614188535,0.621477161,0.619776487,0.621963067,0.599611274,0.606413995,0.604956269,0.599368317,0.600583094,0.605685132,0.606171046,0.607628771,0.603498544,0.609086496,0.600340136,0.601797862,0.599368317,0.599368325,0.599611282,0.600340145,0.600340145,0.600340145,0.600340145,0.600340145
validation,0.2,2,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.603498535,0.597667634,0.597667634,0.603498535,0.597667634,0.600583085,0.597667634,0.60204081,0.60204081,0.597667634,0.600583085,0.600583085,0.606413986,0.606413986,0.603498535,0.606413986,0.610787162,0.60204081,0.604956261,0.604956261,0.604956261,0.613702612,0.597667634,0.604956261,0.603498535,0.597667634,0.596209909,0.603498535,0.603498535,0.603498535,0.60204081,0.60204081,0.596209909,0.60204081,0.597667634,0.597667634,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909,0.596209909
training,0.2,2,0.001,0.601311939,0.598882403,0.598639454,0.598639454,0.598396506,0.598639454,0.598639454,0.598639454,0.601311965,0.600583094,0.601311956,0.604470364,0.605442183,0.608357634,0.608600599,0.610301265,0.614917406,0.61686102,0.619047616,0.625121474,0.626336251,0.627551019,0.629008761,0.633867834,0.641156478,0.645529653,0.650874632,0.648931001,0.653790091,0.649173958,0.659378043,0.672254613,0.681486871,0.687803694,0.671525751,0.697035968,0.695335286,0.715257525,0.726919327,0.738095241,0.733965014,0.745626816,0.745626816,0.75971818,0.774781338,0.759961128,0.779883385,0.787172019,0.784013595,0.773809518
validation,0.2,2,0.001,0.597667634,0.597667634,0.596209909,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.596209909,0.597667634,0.596209909,0.596209909,0.600583085,0.60204081,0.596209909,0.59912536,0.59912536,0.606413986,0.597667634,0.600583094,0.600583085,0.604956269,0.604956261,0.609329445,0.615160355,0.60787172,0.612244904,0.609329445,0.618075805,0.604956269,0.604956269,0.609329437,0.60787172,0.61078717,0.606413995,0.60787172,0.606413986,0.612244904,0.607871728,0.609329437,0.600583094,0.59329445,0.604956261,0.597667634,0.600583094,0.584548099,0.61661808,0.604956269,0.613702621,0.607871711
training,0.2,2,0.001,0.599368317,0.598882403,0.598882394,0.601068991,0.600826034,0.600340128,0.602283759,0.603498535,0.605685123,0.607142849,0.608114668,0.611758981,0.612973758,0.618318754,0.615160346,0.618561719,0.62050535,0.628036925,0.624392612,0.627065105,0.636783285,0.635568517,0.644557808,0.654761902,0.646015542,0.66958212,0.666909601,0.672983485,0.681729845,0.685860063,0.692662776,0.699222556,0.70165211,0.718658882,0.713070946,0.740281837,0.746355687,0.748542283,0.759961137,0.766277943,0.78036929,0.778911565,0.788872685,0.788143831,0.797619053,0.797619045,0.795189508,0.804421774,0.822886305,0.811224486
validation,0.2,2,0.001,0.596209909,0.597667634,0.597667634,0.600583085,0.600583085,0.59912536,0.600583085,0.600583085,0.600583085,0.59912536,0.60204081,0.60204081,0.60204081,0.603498544,0.603498535,0.604956261,0.600583085,0.606413986,0.603498535,0.606413995,0.609329454,0.603498535,0.609329445,0.607871711,0.610787162,0.61078717,0.609329437,0.613702621,0.609329445,0.613702621,0.60787172,0.616618071,0.607871711,0.618075805,0.618075797,0.620991247,0.620991247,0.618075805,0.61078717,0.619533522,0.622448981,0.619533522,0.631195332,0.613702621,0.615160346,0.623906706,0.616618071,0.625364431,0.612244904,0.61953353
training,0.2,3,0.01,0.597667634,0.59815354,0.597910583,0.59815354,0.598396497,0.598639454,0.598639454,0.598396497,0.598639454,0.599611274,0.598396497,0.598882403,0.600340136,0.598882411,0.604713312,0.599854222,0.598396497,0.598639454,0.598882411,0.600340136,0.600340136,0.603498544,0.598639454,0.602769681,0.59912536,0.601554905,0.59912536,0.599368317,0.600097179,0.602283767,0.60398445,0.60301263,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.598882411,0.599368317,0.599611265,0.603984441,0.598882403,0.598882403,0.598882403,0.598882403,0.598882403
validation,0.2,3,0.01,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.59912536,0.597667634,0.603498535,0.597667634,0.597667634,0.597667634,0.59912536,0.59912536,0.597667634,0.60204081,0.597667634,0.603498535,0.597667634,0.59912536,0.597667634,0.597667634,0.59912536,0.59912536,0.603498535,0.600583085,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634,0.60204081,0.597667634,0.597667634,0.597667634,0.597667634,0.597667634
