,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_369.mid",12.0, 6.0, 4.0, 2.0, 43.0, 0.78, 0.22, 0.0, 2.0, 4.0, 41.0, 5.32, 28.0, 6.0, 0.12, 0.32, 1.0, 0.625, 1.0, 1.0, 14.83, 1.731, 2.476, 0.3641, 0.5545, -0.63, 5.761, 6.992, 5.067, 0.0, 29.0, 5.0, 39.0, 3.0, 12.0, 12.78, 5.0, 12.0, 0.2653, 0.7692, 0.7551, 0.2041, 0.0, 0.0, 0.04082, 0.0, 0.0, 0.0, 0.0, 0.1224, 0.2653, 0.3673, 0.0, 0.0, 0.4872, 1.625, 25.58, 5.3, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.282, 1.282, 1.015, 10.0, 3.0, 2.0, 0.4, 0.98, 0.58, 0.02, 0.02, 0.02, 0.25, 12.0, 0.63, 0.5, 0.58, 0.6897, 1.0, 1.645, 0.237, 55.79, 1.471, 1.0, 0.5633, 0.07, 0.0, 0.495, 0.1026, 0.1026, 0.1026, 0.5, 0.5, 0.3636, 0.3636, 0.25, 0.25, 0.1306, 0.1306, 0.0, 4.0, 10.0, 10.0, 60.0, 160.0, 2.667, 0.1267, 0.1267, 1.0, 0.2534, 0.02462, 0.0, 0.2, 120.0, 120.0, 0.0, 19.5, 2.564, 1.827, 0.3923, 0.3923, 1.115, 1.115, 0.125, 7.75, 0.35, 1.07, 0.0, 4.0, 10.0, 10.0, 60.0, 160.0, 2.667, 0.1267, 0.1267, 1.0, 0.2534, 0.02462, 0.0, 0.2
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_370.mid",12.0, 7.0, 5.0, 1.0, 20.0, 0.0, 0.24, 0.76, 5.0, 3.0, 76.0, 4.22, 84.0, 0.0, 0.14, 0.22, 0.8571, 0.8182, 7.0, 10.0, 5.705, 3.716, 4.424, -0.03155, -0.6297, -0.6375, 5.376, 5.01, 4.639, 0.0, 84.0, 0.0, 65.0, 5.0, 0.0, 1.327, 4.0, 3.0, 0.449, 0.4091, 0.6327, 0.449, 0.1633, 0.3061, 0.1837, 0.04082, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222, 2.455, 5.182, 2.868, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.636, 3.636, 4.58, 8.0, 3.0, 1.0, 0.98, 0.98, 0.0, 0.02, 0.0, 0.0, 0.125, 4.0, 0.215, 0.125, 0.88, 1.0, 0.0, 0.5475, 0.4931, 55.88, 4.545, 1.0, 5.538, 0.0, 0.0, 0.0, 0.2182, 0.2182, 0.2182, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 191.0, 159.0, 1.201, 0.06079, 0.05927, 1.026, 0.1201, 0.01674, 0.0, 0.05, 140.0, 140.0, 4.236E-12, 5.893, 8.485, 4.95, 0.0907, 0.0907, 0.237, 0.237, 0.05357, 1.714, 0.09214, 0.2346, 0.88, 0.0, 22.0, 22.0, 186.0, 140.0, 1.329, 0.05516, 0.05375, 1.026, 0.1089, 0.01557, 0.04545, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_371.mid",14.0, 8.0, 4.0, 2.0, 25.0, 0.0, 0.76, 0.24, 3.0, 1.0, 70.0, 4.08, 67.0, 0.0, 0.22, 0.24, 0.5455, 1.0, 5.0, 7.0, 7.586, 3.533, 3.811, 1.218, 0.06793, 1.071, 5.924, 5.068, 5.875, 0.0, 65.0, 5.0, 84.0, 0.0, 0.0, 2.837, 3.0, 3.0, 0.4082, 0.45, 0.6939, 0.4082, 0.08163, 0.1429, 0.1837, 0.1429, 0.0, 0.0, 0.02041, 0.04082, 0.04082, 0.02041, 0.0, 0.0, 0.4483, 1.812, 8.375, 2.778, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.54, 3.54, 3.765, 8.0, 3.0, 2.0, 0.98, 0.98, 0.0, 0.02, 0.0, 0.0, 0.125, 4.0, 0.2225, 0.125, 0.82, 1.0, 0.0, 0.5471, 0.5347, 55.63, 2.778, 1.0, 2.734, 0.0, 0.0, 0.0, 0.2124, 0.2124, 0.2124, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 191.0, 120.0, 1.592, 0.07158, 0.06947, 1.03, 0.1411, 0.01699, 0.0, 0.05, 140.0, 140.0, 4.264E-12, 6.054, 8.26, 0.9275, 0.1202, 0.1202, 0.2959, 0.2959, 0.05357, 1.714, 0.09536, 0.2345, 0.82, 0.0, 22.0, 22.0, 140.0, 186.0, 1.329, 0.06535, 0.06337, 1.031, 0.1287, 0.01574, 0.04545, 0.09091
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_372.mid",7.0, 5.0, 3.0, 3.0, 17.0, 0.0, 0.9, 0.1, 4.0, 2.0, 66.0, 6.74, 68.0, 8.0, 0.32, 0.32, 0.75, 0.8125, 3.0, 2.0, 3.889, 2.863, 1.352, -0.7869, -1.32, -1.642, 6.961, 5.576, 4.976, 0.0, 58.0, 10.0, 75.0, 3.0, 3.0, 4.02, 3.0, 1.0, 0.3265, 0.8125, 0.4694, 0.0, 0.0, 0.2653, 0.3265, 0.2653, 0.0, 0.08163, 0.0, 0.06122, 0.0, 0.0, 0.0, 0.0, 0.6939, 1.633, 6.167, 5.651, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.885, 2.885, 1.769, 3.0, 2.0, 1.0, 0.98, 0.98, 0.02, 0.0, 0.0, 0.0, 0.25, 1.0, 0.265, 0.25, 0.98, 0.02041, 3.0, 0.1061, 0.4243, 56.39, 16.67, 1.0, 27.14, 0.08167, 0.08333, 0.01179, 0.0, 0.0, 3.399E-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 120.0, 180.0, 1.5, 0.1324, 0.1324, 1.0, 0.2648, 0.02728, 0.0, 0.375, 140.0, 140.0, 5.116E-12, 7.429, 6.731, 0.7229, 0.1482, 0.1482, 0.04082, 0.04082, 0.1429, 0.4286, 0.1486, 0.04041, 0.0, 8.0, 8.0, 8.0, 140.0, 105.0, 1.333, 0.1351, 0.1322, 1.022, 0.2672, 0.02729, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_373.mid",15.0, 9.0, 3.0, 1.0, 23.0, 0.0, 0.2, 0.8, 4.0, 3.0, 78.0, 5.24, 80.0, 8.0, 0.16, 0.24, 0.875, 0.75, 2.0, 2.0, 5.901, 3.894, 3.31, -0.9152, 0.1849, -0.7614, 5.544, 4.781, 7.05, 0.0, 77.0, 5.0, 83.0, 11.0, 2.0, 3.02, 5.0, 1.0, 0.3878, 0.5263, 0.3673, 0.0, 0.1224, 0.5102, 0.3673, 0.102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02041, 1.25, 0.0, 0.4898, 1.96, 5.72, 5.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.875, 1.875, 0.3869, 3.0, 3.0, 2.0, 0.64, 0.64, 0.36, 0.0, 0.0, 0.12, 0.25, 1.0, 0.49, 0.25, 0.64, 0.375, 3.0, 0.331, 2.175, 5.009, 1.724, 1.0, 1.601, 0.06333, 0.08333, 0.03595, 0.0, 0.0, -7.834E-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 60.0, 120.0, 2.0, 0.1674, 0.1366, 1.226, 0.304, 0.02761, 0.0, 0.375, 140.0, 140.0, 5.173E-12, 11.43, 4.375, 0.7231, 0.2299, 0.2299, 0.1231, 0.1231, 0.1429, 0.4286, 0.2286, 0.1224, 0.0, 7.0, 8.0, 8.0, 70.0, 140.0, 2.0, 0.1696, 0.1384, 1.226, 0.308, 0.02769, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_374.mid",11.0, 7.0, 4.0, 3.0, 28.0, 0.12, 0.42, 0.46, 1.0, 3.0, 68.0, 4.52, 73.0, 1.0, 0.22, 0.32, 0.9091, 0.8125, 2.0, 1.0, 8.025, 4.037, 2.131, -1.077, 1.873, -0.6758, 6.545, 5.131, 4.836, 0.0, 52.0, 4.0, 73.0, 1.0, 2.0, 5.735, 3.0, 1.0, 0.3265, 0.5625, 0.4082, 0.08163, 0.04082, 0.3673, 0.2245, 0.02041, 0.04082, 0.0, 0.04082, 0.0, 0.102, 0.1224, 4.5, 0.0, 0.4889, 1.875, 11.21, 5.457, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.667, 1.667, 0.2828, 5.0, 3.0, 1.0, 0.0, 0.94, 0.98, 0.02, 0.0, 0.06, 0.5, 3.0, 0.56, 0.5, 0.94, 0.04255, 1.0, 0.3556, 0.5062, 54.35, 7.143, 1.0, 11.58, 0.0, 0.0, 0.0, 0.06667, 0.06667, 0.06667, 0.5, 0.5, 0.2857, 0.2857, 0.25, 0.25, 0.09449, 0.09449, 0.0, 5.0, 10.0, 5.0, 118.0, 79.0, 1.494, 0.199, 0.1786, 1.114, 0.3776, 0.02943, 0.0, 0.4, 170.0, 170.0, 4.492E-12, 10.59, 4.722, 2.8, 0.2051, 0.2051, 0.1323, 0.1323, 0.1765, 1.059, 0.1976, 0.1255, 0.0, 4.0, 14.0, 10.0, 167.0, 112.0, 1.491, 0.1413, 0.1268, 1.114, 0.2681, 0.02317, 0.0, 0.1
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_375.mid",11.0, 7.0, 3.0, 3.0, 28.0, 0.12, 0.38, 0.5, 1.0, 3.0, 68.0, 4.4, 74.0, 1.0, 0.24, 0.3, 0.9167, 1.0, 1.0, 1.0, 8.039, 3.985, 2.148, -1.687, 1.807, -0.8381, 6.769, 5.291, 4.794, 0.0, 71.0, 11.0, 71.0, 11.0, 2.0, 5.673, 3.0, 1.0, 0.3265, 0.4375, 0.3878, 0.1224, 0.06122, 0.3878, 0.1837, 0.02041, 0.04082, 0.0, 0.02041, 0.0, 0.08163, 0.1429, 3.5, 0.0, 0.5116, 1.87, 11.96, 5.343, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.653, 1.653, 0.2776, 5.0, 3.0, 1.0, 0.0, 0.94, 0.98, 0.02, 0.0, 0.06, 0.5, 3.0, 0.56, 0.5, 0.94, 0.04255, 1.0, 0.3556, 0.5062, 54.35, 7.143, 1.0, 10.99, 0.0, 0.0, 0.0, 0.07438, 0.07438, 0.07438, 0.5, 0.5, 0.2813, 0.2813, 0.25, 0.25, 0.08839, 0.08839, 0.0, 5.0, 10.0, 8.0, 118.0, 79.0, 1.494, 0.1905, 0.1587, 1.2, 0.3492, 0.02757, 0.0, 0.25, 170.0, 170.0, 4.521E-12, 10.68, 4.683, 2.8, 0.2069, 0.2069, 0.1324, 0.1324, 0.1765, 1.059, 0.1976, 0.1255, 0.0, 3.0, 14.0, 13.0, 167.0, 112.0, 1.491, 0.1343, 0.1119, 1.2, 0.2463, 0.02193, 0.0, 0.07692
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_376.mid",11.0, 7.0, 4.0, 1.0, 33.0, 0.08, 0.86, 0.06, 2.0, 3.0, 65.0, 6.06, 69.0, 9.0, 0.2, 0.26, 0.9, 0.7692, 5.0, 5.0, 7.04, 2.931, 3.228, -0.6052, -0.9623, 0.7249, 10.98, 5.722, 7.502, 0.0, 69.0, 9.0, 67.0, 7.0, 2.0, 5.837, 4.0, 1.0, 0.3061, 0.8667, 0.2245, 0.04082, 0.2653, 0.5714, 0.1633, 0.04082, 0.0, 0.0, 0.0, 0.0, 0.02041, 0.1633, 0.3333, 0.0, 0.4468, 1.516, 8.516, 5.806, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.9836, 0.9836, 0.3498, 7.0, 7.0, 3.0, 0.28, 0.46, 0.7, 0.16, 0.0, 0.36, 0.25, 4.0, 0.825, 0.75, 0.34, 0.8235, 2.0, 0.7271, 0.3094, 12.83, 1.923, 1.0, 1.695, 0.07604, 0.08333, 0.08559, 0.1977, 0.1977, 0.1977, 1.167, 1.167, 0.3516, 0.3516, 0.25, 0.25, 0.2874, 0.2874, 0.0, 5.0, 10.0, 6.0, 60.0, 120.0, 2.0, 0.2051, 0.1795, 1.143, 0.3846, 0.02892, 0.0, 0.3333, 145.0, 145.0, 1.123E-11, 21.03, 2.377, 0.5793, 0.4201, 0.4201, 0.3391, 0.3391, 0.09914, 1.759, 0.3375, 0.2883, 0.24, 5.0, 12.0, 7.0, 73.0, 145.0, 1.986, 0.1727, 0.1511, 1.143, 0.3237, 0.02588, 0.0, 0.2857
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_377.mid",13.0, 7.0, 3.0, 2.0, 22.0, 0.0, 0.14, 0.86, 3.0, 3.0, 78.0, 6.68, 81.0, 9.0, 0.2, 0.24, 1.0, 0.8333, 2.0, 2.0, 5.534, 3.537, 2.977, -1.258, -0.2714, 0.5643, 7.337, 5.552, 8.06, 0.0, 69.0, 9.0, 69.0, 9.0, 2.0, 3.592, 3.0, 1.0, 0.449, 0.3182, 0.2653, 0.02041, 0.1429, 0.5918, 0.1837, 0.06122, 0.02041, 0.0, 0.02041, 0.02041, 0.04082, 0.04082, 0.8, 0.02, 0.375, 1.846, 6.231, 4.062, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.364, 1.364, 0.2961, 7.0, 7.0, 3.0, 0.22, 0.72, 0.76, 0.1, 0.0, 0.2, 0.125, 3.0, 0.6725, 0.5, 0.5, 0.4, 1.0, 0.5719, 0.9048, 12.39, 1.389, 1.0, 0.6878, 0.04854, 0.01042, 0.07581, 0.09864, 0.09864, 0.09864, 0.5104, 0.5104, 0.2064, 0.2064, 0.1667, 0.1667, 0.09035, 0.09035, 0.0, 4.0, 11.0, 10.0, 44.0, 96.0, 2.182, 0.1076, 0.1076, 1.0, 0.2152, 0.02215, 0.0, 0.1, 145.0, 145.0, 1.697E-11, 15.16, 3.297, 1.905, 0.2911, 0.2911, 0.2509, 0.2509, 0.05172, 1.345, 0.2734, 0.2284, 0.22, 1.0, 13.0, 12.0, 42.0, 53.0, 1.262, 0.1036, 0.08808, 1.176, 0.1917, 0.02065, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_378.mid",17.0, 12.0, 3.0, 1.0, 48.0, 0.04, 0.2, 0.76, 3.0, 1.0, 74.0, 5.48, 77.0, 5.0, 0.18, 0.22, 0.8889, 0.7273, 2.0, 3.0, 8.892, 3.025, 4.181, -0.7287, 0.476, 1.062, 17.04, 5.408, 4.685, 0.0, 81.0, 9.0, 79.0, 7.0, 1.0, 3.755, 3.0, 1.0, 0.3061, 0.7333, 0.3878, 0.2245, 0.3061, 0.4898, 0.102, 0.06122, 0.0, 0.0, 0.02041, 0.02041, 0.04082, 0.04082, 1.5, 0.0, 0.3684, 2.533, 11.93, 4.233, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.124, 1.124, 1.48, 8.0, 5.0, 1.0, 0.8, 0.8, 0.08, 0.16, 0.0, 0.0, 0.125, 4.0, 0.795, 0.25, 0.76, 0.1579, 7.0, 1.252, 1.306, 9.212, 4.167, 2.0, 5.589, 0.01, 0.0, 0.02736, 0.09551, 0.09551, 0.09551, 4.0, 4.0, 1.417, 1.417, 0.125, 0.125, 2.237, 2.237, 0.0, 5.0, 11.0, 10.0, 120.0, 160.0, 1.333, 0.1422, 0.133, 1.069, 0.2752, 0.02435, 0.0, 0.3, 130.0, 130.0, 4.15E-12, 20.54, 2.434, 1.389, 0.3772, 0.3772, 0.5795, 0.5795, 0.05769, 1.846, 0.3715, 0.5759, 0.04, 5.0, 12.0, 10.0, 130.0, 173.0, 1.331, 0.1366, 0.1278, 1.069, 0.2643, 0.02353, 0.0, 0.2
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_379.mid",13.0, 7.0, 5.0, 3.0, 44.0, 0.08, 0.28, 0.64, 4.0, 2.0, 71.0, 5.9, 76.0, 4.0, 0.2, 0.28, 0.6, 0.7857, 2.0, 5.0, 11.04, 2.936, 2.978, -1.179, 0.9195, 1.108, 10.48, 4.818, 6.948, 0.0, 74.0, 2.0, 69.0, 9.0, 0.0, 4.51, 2.0, 3.0, 0.4898, 0.25, 0.6735, 0.4898, 0.06122, 0.102, 0.1224, 0.08163, 0.06122, 0.02041, 0.0, 0.0, 0.04082, 0.08163, 0.0, 0.0, 0.52, 1.562, 11.88, 2.278, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.0, 4.0, 0.1557, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.23, 0.25, 0.84, 0.1905, 1.0, 0.04629, -1.296, 8.112, 5.556, 2.0, 8.11, 0.0, 0.0, 0.0, 0.08, 0.08, 0.08, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1106, 0.1082, 1.022, 0.2188, 0.02427, 0.0, 0.3, 130.0, 130.0, 8.414E-12, 5.769, 8.667, 6.223, 0.1135, 0.1135, 2.804E-17, 2.804E-17, 0.05769, 0.1154, 0.1062, 0.02137, 0.16, 1.0, 11.0, 11.0, 173.0, 130.0, 1.331, 0.1017, 0.09957, 1.022, 0.2013, 0.02308, 0.0, 0.09091
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_380.mid",15.0, 7.0, 5.0, 2.0, 38.0, 0.06, 0.08, 0.86, 6.0, 2.0, 76.0, 6.38, 82.0, 10.0, 0.2, 0.24, 0.8, 0.8333, 4.0, 4.0, 8.024, 3.319, 1.966, -0.3963, 0.3435, 0.2747, 10.62, 5.205, 4.988, 0.0, 54.0, 6.0, 87.0, 3.0, 2.0, 3.939, 6.0, 1.0, 0.1837, 0.8889, 0.449, 0.1429, 0.1633, 0.3469, 0.2245, 0.1224, 0.0, 0.04082, 0.04082, 0.0, 0.04082, 0.04082, 0.8333, 0.0, 0.4762, 2.1, 9.05, 6.5, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.6592, 0.6592, 0.3219, 8.0, 8.0, 3.0, 0.0, 0.26, 0.88, 0.34, 0.02, 0.38, 0.5, 8.0, 1.435, 0.5, 0.26, 0.8462, 1.0, 1.282, 1.018, 19.77, 1.724, 2.0, 0.9218, 0.045, 0.0, 0.1273, 0.08377, 0.08377, 0.08377, 2.125, 2.125, 0.4888, 0.4888, 0.25, 0.25, 0.5442, 0.5442, 0.0, 3.0, 17.0, 3.0, 60.0, 118.0, 1.967, 0.2093, 0.1628, 1.286, 0.3721, 0.02554, 0.0, 0.6667, 125.0, 125.0, 0.0, 36.41, 1.373, 0.7124, 0.6976, 0.6976, 0.6081, 0.6081, 0.24, 3.84, 0.6672, 0.5962, 0.0, 3.0, 18.0, 3.0, 62.0, 123.0, 1.984, 0.2093, 0.1628, 1.286, 0.3721, 0.02554, 0.0, 0.6667
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_381.mid",17.0, 7.0, 4.0, 2.0, 41.0, 0.06, 0.08, 0.86, 3.0, 2.0, 77.0, 6.22, 82.0, 10.0, 0.18, 0.22, 0.7778, 0.9091, 4.0, 4.0, 8.53, 3.472, 2.005, -0.7948, 0.1901, 0.02993, 9.933, 5.119, 4.961, 0.0, 85.0, 1.0, 83.0, 11.0, 2.0, 4.694, 6.0, 1.0, 0.1837, 0.7778, 0.4286, 0.1224, 0.1429, 0.3265, 0.2245, 0.102, 0.0, 0.06122, 0.08163, 0.0, 0.02041, 0.06122, 1.2, 0.0, 0.4884, 1.87, 9.957, 6.536, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.6952, 0.6952, 0.2569, 8.0, 7.0, 3.0, 0.0, 0.28, 0.9, 0.32, 0.02, 0.36, 0.5, 8.0, 1.355, 0.5, 0.28, 0.7857, 1.0, 1.234, 0.8629, 22.98, 1.667, 1.0, 0.8442, 0.0275, 0.0, 0.08732, 0.07706, 0.07706, 0.07706, 2.125, 2.125, 0.5038, 0.5038, 0.25, 0.25, 0.592, 0.592, 0.0, 3.0, 18.0, 4.0, 60.0, 118.0, 1.967, 0.2143, 0.1667, 1.286, 0.381, 0.02591, 0.0, 0.5, 125.0, 125.0, 0.0, 34.52, 1.448, 0.3909, 0.6847, 0.6847, 0.6024, 0.6024, 0.24, 3.84, 0.6372, 0.5873, 0.0, 3.0, 18.0, 4.0, 62.0, 123.0, 1.984, 0.2143, 0.1667, 1.286, 0.381, 0.02591, 0.0, 0.5
