,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\junglestrike-title.mid",0.4417
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\title_theme_2.mid",0.6794
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Tetristh.mid",0.2181
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Metroid_Theme_Remix.mid",1.349
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\faxtitle.mid",0.1119
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Amagon-Title_2.mid",0.2466
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\CLspidermanxmentitle.mid",0.2822
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\zoopgb.mid",0.3892
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Kfts.mid",0.3964
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\civilization_Intro.mid",0.4718
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MM8TitleGS.mid",0.1564
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\IoGtitle.mid",0.2334
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Joust-Title.mid",0.1605
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\CC-Title.mid",0.2631
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Ts_intro.mid",0.1396
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Push_Title.mid",0.2648
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ff1title.mid",0.1596
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MMXMain.mid",0.3354
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Mm4title.mid",0.1292
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\thronerm.mid",0.2229
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Desert_Strike.mid",0.152
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bszeldatitle.mid",0.3459
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MM2_ThemeSymphonicRemix.mid",0.505
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Titlearr.mid",0.5342
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\superscrabbletitlescreen.mid",0.276
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\tombraider-indigo.mid",0.5202
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_StreetFighterIIGB_Title.mid",0.2039
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ectheme.mid",0.1394
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\rsaga202.mid",0.1205
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\yuu_yuu_hakusho_kakutou_no_syo_japan_-_intro.mid",0.1579
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dkr_title_screen_v1-1.mid",0.1484
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mm4gbint.mid",0.3186
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\markwtitlezelda.mid",1.003
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mmagic.mid",0.4991
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Gbtitle3.mid",0.4459
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ki.mid",0.161
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Title_Screen546.mid",0.1496
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_RoboWarrior_TitleTheme.mid",0.2244
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\z1title.mid",0.3604
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Wrath_of_the_Black_Manta.mid",0.252
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\OLhomealonetitle.mid",0.1558
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Duck_Tales_Title.mid",0.192
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Killer_Instinct.mid",1.322
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\beast.mid",0.7146
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Dragonslairts.mid",0.2767
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\WWIntro.mid",0.1364
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SMWOPENP.mid",0.1479
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Gauntlet_Remix.mid",0.1101
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\illusion_of_time.mid",0.611
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\PuyoPuyoNES_Title.mid",0.1903
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dbgtfbtitlescreen.mid",0.2147
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SuperMario64Title.mid",0.09082
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Overture_-_Ogre_Battle_64.mid",0.3191
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\smas3title.mid",0.5624
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Smktit.mid",0.1268
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\wstitle.mid",0.1986
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dejavu5.mid",0.18
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\CDRR2_NES_Title_Screen.mid",0.2011
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MM2Ringer.mid",0.2148
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\RK-Title.mid",0.1606
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\gb5title.mid",0.1999
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mggbcts.mid",0.2227
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\soulblade.mid",1.39
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sdb-titl.mid",0.2081
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Megaman_2_Title.mid",0.452
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\verytex.mid",0.1514
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_SuperShinobi2_TitleTheme.mid",0.2
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Metroid_-_IntroXG.mid",0.1754
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\A3_title.mid",0.1967
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\BlackBassIntro.mid",0.625
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mk_titlescreen_zb.mid",0.178
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ms_title.mid",0.1857
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\swords-titlescreen.mid",0.197
