,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_4.mid",0.1216
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_5.mid",0.1306
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_6.mid",0.1316
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_7.mid",0.1205
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_8.mid",0.1287
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch3500_9.mid",0.1242
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_1.mid",0.03792
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_10.mid",0.04208
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_11.mid",0.05031
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_12.mid",0.04531
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_13.mid",0.03396
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_14.mid",0.04406
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_15.mid",0.04031
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_16.mid",0.05198
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_2.mid",0.02969
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_3.mid",0.04021
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_4.mid",0.03979
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_5.mid",0.03531
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_6.mid",0.035
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_7.mid",0.04562
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_8.mid",0.03198
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch50_9.mid",0.04115
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_1.mid",0.1374
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_10.mid",0.1964
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_11.mid",0.1607
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_12.mid",0.1719
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_13.mid",0.1971
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_14.mid",0.1844
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_15.mid",0.1675
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_16.mid",0.1779
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_2.mid",0.1687
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_3.mid",0.1721
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_4.mid",0.1592
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_5.mid",0.1768
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_6.mid",0.1843
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_7.mid",0.1618
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_8.mid",0.1497
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch700_9.mid",0.1829
